id,accession,title,lineage,taxon_id,scientific_name,library_strategy,library_layout,instrument_model,run_accession,nreads,read_average,total_spots,total_bases,size,published
601975,SRX425456,We sequenced the transcripts from digestive tract of Branchiostoma belcheri.,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Cephalochordata; Branchiostomidae; Branchiostoma; Branchiostoma belcheri,7741,Branchiostoma belcheri,RNA-Seq,PAIRED,Illumina Genome Analyzer IIx,SRR1107642,2,115,16588129,3815269670,2279694286,2014-01-20 00:00:00
684901,SRX494804,M. hybrid neurula reads,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Molgulidae; Molgula,27574,Molgula,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1198337,2,75,36955528,5543329200,3076423047,2014-03-20 00:00:00
684893,SRX494796,M. hybrid gastrula reads,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Molgulidae; Molgula,27574,Molgula,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1198321,2,75,36544642,5481696300,3043804415,2014-03-20 00:00:00
685762,SRX495665,M. occulta tailbud reads,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Molgulidae; Molgula; Molgula occulta,30283,Molgula occulta,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1199268,2,75,42286476,6342971400,3831666226,2014-03-20 00:00:00
685761,SRX495664,M. occulta early tailbud reads,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Molgulidae; Molgula; Molgula occulta,30283,Molgula occulta,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1199259,2,75,43102467,6465370050,3805420317,2014-03-20 00:00:00
685760,SRX495663,M. occulta neurula reads,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Molgulidae; Molgula; Molgula occulta,30283,Molgula occulta,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1199464,2,75,41197210,6179581500,3762469941,2014-03-20 00:00:00
684591,SRX494494,M. occulta reads,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Molgulidae; Molgula; Molgula occulta,30283,Molgula occulta,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1197985,2,75,29801047,4470157050,2505907192,2014-03-20 00:00:00
684578,SRX494481,M. oculata tailbud reads,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Molgulidae; Molgula; Molgula oculata,27575,Molgula oculata,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1197972,2,75,37614014,5642102100,3184418782,2014-03-20 00:00:00
684566,SRX494469,M. oculata neurula reads,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Molgulidae; Molgula; Molgula oculata,27575,Molgula oculata,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1197965,2,75,39688709,5953306350,3355569479,2014-03-20 00:00:00
684370,SRX494273,M. oculata gastrula reads,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Molgulidae; Molgula; Molgula oculata,27575,Molgula oculata,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1197522,2,75,37655526,5648328900,3233908878,2014-03-20 00:00:00
684911,SRX494814,M. hybrid tailbud reads,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Molgulidae; Molgula; Molgula oculata x Molgula occulta,1477019,Molgula oculata x Molgula occulta,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1198346,2,75,41921840,6288276000,3782490877,2014-03-20 00:00:00
387988,SRX273507,Colony BB gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837531,2,101,305558,61722716,39128223,2013-07-30 11:58:38
387987,SRX273506,Colony AX gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837530,2,101,136322,27537044,17199127,2013-07-30 11:58:38
387986,SRX273505,Colony AB gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837529,2,101,892618,180308836,112486182,2013-07-30 11:58:38
387985,SRX273504,Colony AA 4 gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837528,2,101,2490385,503057770,319256994,2013-07-30 11:58:38
387984,SRX273503,Colony AA 3 gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837527,2,101,2219040,448246080,284815924,2013-07-30 11:58:38
387983,SRX273502,Colony AA 2 gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837526,2,101,2770051,559550302,354444734,2013-07-30 11:58:38
387982,SRX273501,Colony AA 1 gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837525,2,101,271826,54908852,34306499,2013-07-30 11:58:38
387981,SRX273500,Colony 40 gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837766,2,101,4152218,838748036,564122332,2013-07-30 11:58:38
387980,SRX273499,Colony Hm9 gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837524,2,101,308642,62345684,38855838,2013-07-30 11:58:38
387979,SRX273498,Colony 15 gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837523,2,101,686726,138718652,95334628,2013-07-30 11:58:38
387978,SRX273497,Colony 4 gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837522,2,101,695650,140521300,96647767,2013-07-30 11:58:38
387977,SRX273496,Colony 31 gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837521,2,101,2045648,413220896,266531238,2013-07-30 11:58:38
387976,SRX273495,Colony 944 gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837520,2,101,4781017,965765434,676107715,2013-07-30 11:58:38
387975,SRX273494,Colony 5606b gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837762,2,101,765800,154691600,103911175,2013-07-30 11:58:38
387972,SRX273491,Colony Sc109e gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837758,2,101,3195023,706100083,512317789,2013-07-30 11:58:38
387971,SRX273490,Colony Sc32e gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837519,2,101,120593,24359786,16398387,2013-07-30 11:58:38
387970,SRX273489,Colony 2362c gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837518,2,101,160691,32459582,21814147,2013-07-30 11:58:38
387969,SRX273488,Colony Y gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837517,2,101,2647584,534811968,345568897,2013-07-30 11:58:38
387968,SRX273487,Colony X gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837516,2,101,2474160,499780320,324526411,2013-07-30 11:58:38
387897,SRX273416,Colony P gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR837514,2,101,4152027,838709454,539494602,2013-07-30 11:58:38
387974,SRX273493,Colony Sc6ab gene expression,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Styelidae; Botryllus; Botryllus schlosseri,30301,Botryllus schlosseri,RNA-Seq,PAIRED,Illumina MiSeq,SRR837760,2,101,121214,24485228,15337152,2013-07-30 11:58:38
624655,SRX445872,Paired end reads used to assemble Asterias amurensis de novo ovary transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Echinodermata; Eleutherozoa; Asterozoa; Asteroidea; Forcipulatacea; Forcipulatida; Asteriidae; Asterias; Asterias amurensis,7602,Asterias amurensis,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1139201,2,100,46848918,9369783600,6135721372,2014-05-22 00:00:00
624640,SRX445857,Paired end reads used to assemble Asterias forbesi de novo ovary transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Echinodermata; Eleutherozoa; Asterozoa; Asteroidea; Forcipulatacea; Forcipulatida; Asteriidae; Asterias; Asterias forbesi,7603,Asterias forbesi,RNA-Seq,PAIRED,Illumina Genome Analyzer IIx,SRR1138708,2,80,30844547,4935127520,2782680075,2014-05-22 00:00:00
624643,SRX445860,Paired end reads used to assemble Asterias vulgaris de novo ovary transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Echinodermata; Eleutherozoa; Asterozoa; Asteroidea; Forcipulatacea; Forcipulatida; Asteriidae; Asterias; Asterias rubens,7604,Asterias rubens,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1139190,2,100,33584666,6716933200,4514659105,2014-05-22 00:00:00
624646,SRX445863,Paired end reads used to assemble Leptasterias de novo ovary transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Echinodermata; Eleutherozoa; Asterozoa; Asteroidea; Forcipulatacea; Forcipulatida; Asteriidae; Leptasterias; Leptasterias sp. AR-2014,1462732,Leptasterias sp. AR-2014,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1139194,2,100,41257296,8251459200,5316578890,2014-05-22 00:00:00
624649,SRX445866,Paired end reads used to assemble Marthasterias glacialis de novo ovary transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Echinodermata; Eleutherozoa; Asterozoa; Asteroidea; Forcipulatacea; Forcipulatida; Asteriidae; Marthasterias; Marthasterias glacialis,7609,Marthasterias glacialis,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1139196,2,100,38396211,7679242200,4985241869,2014-05-22 00:00:00
624651,SRX445868,Paired end reads used to assemble Pisaster ochraceus de novo ovary transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Echinodermata; Eleutherozoa; Asterozoa; Asteroidea; Forcipulatacea; Forcipulatida; Asteriidae; Pisaster; Pisaster ochraceus,7612,Pisaster ochraceus,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR1139197,2,100,34948776,6989755200,4650593980,2014-05-22 00:00:00
