id,accession,title,lineage,taxon_id,scientific_name,library_strategy,library_layout,instrument_model,run_accession,nreads,read_average,total_spots,total_bases,size,published
350260,SRX250338,Pleurobrachia  pileus-A Transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Ctenophora; Typhlocoela; Cydippida; Pleurobrachiidae; Pleurobrachia; Pleurobrachia pileus,140457,Pleurobrachia pileus,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR789901,2,100,25313211,5062642200,3493555236,2014-05-21 12:21:07
350251,SRX250329,Mnemiopsis leidyi Transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Ctenophora; Cyclocoela; Lobata; Bolinopsidae; Mnemiopsis; Mnemiopsis leidyi,27923,Mnemiopsis leidyi,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR789900,2,100,24891450,4978290000,3395574681,2014-05-21 12:21:07
350250,SRX250328,Mertensiidae sp Transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Ctenophora; Typhlocoela; Cydippida; Mertensiidae,140460,Mertensiidae,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR786492,2,100,23727123,4745424600,3148654060,2014-05-21 12:21:07
350249,SRX250327,Bolinopsis infundibulum Transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Ctenophora; Cyclocoela; Lobata; Bolinopsidae; Bolinopsis; Bolinopsis infundibulum,140455,Bolinopsis infundibulum,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR786491,2,100,21688585,4337717000,2928319892,2014-05-21 12:21:07
350248,SRX250326,Coeloplana astericola Transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Ctenophora; Typhlocoela; Platyctenida; Coeloplanidae; Coeloplana,140473,Coeloplana,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR786490,2,100,20842610,4168522000,2824490129,2014-05-21 12:21:07
350247,SRX250325,Vallicula multiformis Transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Ctenophora; Typhlocoela; Platyctenida; Coeloplanidae; Vallicula; Vallicula multiformis,140489,Vallicula multiformis,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR786489,2,100,24545186,4909037200,3312071432,2014-05-21 12:21:07
350246,SRX250324,Dyrodora glandiformis Transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Ctenophora; Typhlocoela; Cydippida,50341,Cydippida,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR777788,2,100,20634583,4126916600,2800117413,2014-05-21 12:21:07
350245,SRX250323,Beroe abyssicola Transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Ctenophora; Cyclocoela; Beroida; Beroidae; Beroe; Beroe abyssicola,320166,Beroe abyssicola,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR777787,2,100,22722322,4544464400,3140388411,2014-05-21 12:21:07
350235,SRX250313,Euplokamis dunlapae Transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Ctenophora; Typhlocoela; Cydippida; Euplokamidae; Euplokamis,1128080,Euplokamis,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR777663,2,100,34151349,6830269800,4502368847,2014-05-21 12:21:07
30477,SRX025953,Embryo transcriptome,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Ctenophora; Typhlocoela; Cydippida; Pleurobrachiidae; Pleurobrachia; Pleurobrachia bachei,34499,Pleurobrachia bachei,AMPLICON,SINGLE,454 GS FLX Titanium,SRR064538,2,4,241437,59305902,191578536,2014-05-21 12:21:22
